Bill,Tip,Credit,Guests,PctTip
23.70,10,0,2,42.2
36.11,7,0,3,19.4
31.99,5.01,1,2,15.7
17.39,3.61,1,2,20.8
15.41,3,0,2,19.5
18.62,2.5,0,2,13.4
21.56,3.44,0,2,16
19.58,2.42,0,2,12.4
23.59,3,0,2,12.7
18.67,2,0,2,10.7
15.19,1.75,0,1,11.5
10.17,2.1,0,1,20.6
8.08,1,0,1,12.4
8.83,1.25,0,2,14.2
8.88,1.12,0,2,12.6
17.49,3,0,3,17.2
18.40,2.6,0,2,14.1
29.05,5.91,1,2,20.3
9.31,1.25,0,1,13.4
41.94,7.06,1,5,16.8
55.59,10,0,5,18
25.09,5,1,2,19.9
13.11,2,0,1,15.3
49.59,10.41,1,4,21
36.86,6.14,1,2,16.7
22.68,3.55,0,2,15.7
29.53,4.47,1,3,15.1
18.62,3.11,0,2,16.7
31.35,4.5,0,2,14.4
24.34,4,1,3,16.4
39.80,6.3,1,2,15.8
12.54,2,0,2,15.9
13.38,2,0,2,14.9
16.53,2.47,0,2,14.9
16.85,3,0,2,17.8
15.73,5,0,2,31.8
31.14,5,0,3,16.1
18.14,2.75,0,2,15.2
9.58,1.42,0,1,14.8
35.90,5,0,3,13.9
17.44,3.7,0,2,21.2
19.69,2.31,0,2,11.7
59.33,10,1,6,16.9
9.36,1.44,1,1,15.4
10.59,1.5,0,1,14.2
31.94,8.06,0,3,25.2
22.26,3.74,1,2,16.8
20.33,4,0,2,19.7
10.17,1.83,0,1,18
9.20,1.8,0,1,19.6
21.88,4,0,3,18.3
20.87,3.13,1,2,15
17.39,3.61,0,2,20.8
7.97,1.03,0,2,12.9
32.31,4.69,0,2,14.5
7.70,1,0,1,13
7.76,1,0,1,12.9
23.43,4,0,2,17.1
38.73,5.7,0,2,14.7
70.51,10.49,1,2,14.9
60.72,15,1,1,24.7
30.98,5.02,1,1,16.2
23.27,3.73,0,2,16
25.95,4.05,1,2,15.6
29.64,6,0,2,20.2
8.29,1,1,2,12.1
26.16,4.53,0,1,17.3
34.94,6.96,1,2,19.9
53.54,9,1,2,16.8
22.47,4,1,2,17.8
37.24,6.7,1,2,18
23.65,3.15,0,2,13.3
28.89,3.46,0,2,12
21.24,3.62,0,2,17
20.22,2,0,2,9.9
7.54,1.26,0,3,16.7
22.36,3,0,2,13.4
27.98,5.42,0,2,19.4
22.95,4.05,1,2,17.6
17.71,2.3,0,2,13
28.09,5.11,0,4,18.2
29.00,4,0,3,13.8
18.67,3,0,3,16.1
37.34,5.96,1,2,16
22.20,4,1,1,18
36.27,7,1,2,19.3
23.00,3.75,0,1,16.3
42.96,7.04,1,2,16.4
23.38,4,0,2,17.1
21.03,3,0,2,14.3
26.80,2.2,0,2,8.2
28.36,5.2,0,1,18.3
18.73,2.27,0,2,12.1
50.24,9.76,1,2,19.4
12.31,1.9,0,2,15.4
28.84,5.16,0,2,17.9
19.42,3,0,2,15.4
18.62,2.79,1,3,15
10.17,2,0,1,19.7
18.62,3.35,1,2,18
57.30,10,0,7,17.5
25.63,5,0,2,19.5
39.75,7.25,1,2,18.2
1.66,0.25,0,1,15.1
9.52,1,0,1,10.5
11.18,2,1,2,17.9
18.83,2.8,0,2,14.9
17.82,2.75,0,2,15.4
35.95,6.05,1,3,16.8
23.97,4,0,2,16.7
27.45,4,1,3,14.6
27.66,4.16,1,2,15
27.82,4.71,0,3,16.9
19.53,8,0,2,41
11.18,1.82,1,2,16.3
11.93,2,0,1,16.8
18.67,3.33,1,2,17.8
28.36,5.44,0,3,19.2
18.14,4,0,3,22.1
20.22,4.37,0,2,21.6
11.66,1.5,0,1,12.9
17.82,3.18,1,2,17.8
18.62,2.38,1,2,12.8
3.26,0.74,0,2,22.7
23.91,4,0,2,16.7
15.25,2.75,1,2,18
7.44,1.56,0,1,21
11.72,2.28,1,1,19.5
8.40,1.6,1,1,19
17.44,2,0,2,11.5
12.52,1.5,0,1,12
14.34,2,0,2,13.9
30.60,5,1,2,16.3
18.08,2,0,2,11.1
16.48,3,0,2,18.2
24.50,3.5,1,2,14.3
17.12,3.72,0,2,21.7
6.69,1,0,1,14.9
16.26,2.43,0,2,14.9
13.86,1.14,0,1,8.2
30.98,4.02,1,4,13
18.40,2.75,0,2,14.9
16.80,2.2,1,2,13.1
3.75,0.25,0,2,6.7
32.69,5,0,2,15.3
35.68,5,0,3,14
9.84,2.16,1,1,22
14.23,2.15,0,2,15.1
29.85,4.15,1,2,13.9
20.76,3,0,2,14.5
24.82,4.4,0,2,17.7
15.62,2.81,0,2,18
31.30,5.7,1,3,18.2
12.57,2,0,3,15.9
14.87,3.13,0,2,21
51.68,10,1,6,19.3
17.12,2.5,0,2,14.6
